"row_id","user_id","timestamp","gate_id"
0,18,2022-07-29 09:08:54,7
1,18,2022-07-29 09:09:54,9
2,18,2022-07-29 09:09:54,9
3,18,2022-07-29 09:10:06,5
4,18,2022-07-29 09:10:08,5
5,18,2022-07-29 09:10:34,10
6,18,2022-07-29 09:32:47,11
7,18,2022-07-29 09:33:12,4
8,18,2022-07-29 09:33:13,4
9,1,2022-07-29 09:33:16,7
10,18,2022-07-29 09:33:23,9
11,18,2022-07-29 09:33:23,9
12,18,2022-07-29 09:33:41,5
13,18,2022-07-29 09:33:42,5
14,18,2022-07-29 09:34:04,10
15,1,2022-07-29 09:34:18,9
16,1,2022-07-29 09:34:18,9
17,1,2022-07-29 09:34:32,5
18,1,2022-07-29 09:34:33,5
19,1,2022-07-29 09:35:00,10
20,3,2022-07-29 09:40:40,7
21,3,2022-07-29 09:42:49,9
22,3,2022-07-29 09:42:49,9
23,3,2022-07-29 09:43:01,5
24,3,2022-07-29 09:43:03,5
25,3,2022-07-29 09:43:29,10
26,6,2022-07-29 09:53:22,7
27,29,2022-07-29 09:53:44,7
28,29,2022-07-29 09:53:46,7
29,6,2022-07-29 09:54:25,9
30,6,2022-07-29 09:54:25,9
31,6,2022-07-29 09:54:35,5
32,6,2022-07-29 09:54:37,5
33,6,2022-07-29 09:54:57,10
34,29,2022-07-29 09:56:04,9
35,29,2022-07-29 09:56:04,9
36,29,2022-07-29 09:56:12,5
37,29,2022-07-29 09:56:14,5
38,18,2022-07-29 09:56:31,12
39,18,2022-07-29 09:56:33,12
40,29,2022-07-29 09:56:41,10
41,55,2022-07-29 10:09:23,7
42,55,2022-07-29 10:10:28,3
43,55,2022-07-29 10:10:30,3
44,55,2022-07-29 10:10:50,10
45,24,2022-07-29 10:12:52,15
46,24,2022-07-29 10:15:52,3
47,24,2022-07-29 10:15:55,3
48,24,2022-07-29 10:16:19,10
49,24,2022-07-29 10:17:48,11
50,24,2022-07-29 10:18:13,4
51,24,2022-07-29 10:18:14,4
52,24,2022-07-29 10:18:25,9
53,24,2022-07-29 10:18:25,9
54,24,2022-07-29 10:18:42,5
55,24,2022-07-29 10:18:44,5
56,24,2022-07-29 10:19:05,10
57,39,2022-07-29 10:20:52,9
58,39,2022-07-29 10:20:52,9
59,39,2022-07-29 10:21:18,5
60,39,2022-07-29 10:21:20,5
61,39,2022-07-29 10:21:50,10
62,47,2022-07-29 10:25:12,5
63,47,2022-07-29 10:25:13,5
64,47,2022-07-29 10:25:35,10
65,6,2022-07-29 10:27:31,11
66,6,2022-07-29 10:27:58,4
67,6,2022-07-29 10:28:00,4
68,33,2022-07-29 10:29:44,3
69,33,2022-07-29 10:29:44,3
70,33,2022-07-29 10:30:06,10
71,0,2022-07-29 10:30:17,3
72,0,2022-07-29 10:30:18,3
73,6,2022-07-29 10:32:14,7
74,6,2022-07-29 10:33:09,3
75,6,2022-07-29 10:33:10,3
76,6,2022-07-29 10:33:31,10
77,33,2022-07-29 10:39:38,11
78,33,2022-07-29 10:39:57,4
79,33,2022-07-29 10:39:58,4
80,33,2022-07-29 10:40:05,9
81,33,2022-07-29 10:40:05,9
82,33,2022-07-29 10:40:17,5
83,33,2022-07-29 10:40:18,5
84,33,2022-07-29 10:40:35,10
85,31,2022-07-29 10:41:50,3
86,31,2022-07-29 10:41:51,3
87,37,2022-07-29 10:42:04,5
88,37,2022-07-29 10:42:06,5
89,31,2022-07-29 10:42:12,10
90,37,2022-07-29 10:42:30,10
91,26,2022-07-29 10:46:23,15
92,26,2022-07-29 10:49:17,9
93,26,2022-07-29 10:49:17,9
94,26,2022-07-29 10:49:31,5
95,26,2022-07-29 10:49:32,5
96,26,2022-07-29 10:49:54,10
97,18,2022-07-29 10:53:32,11
98,18,2022-07-29 10:54:01,4
99,47,2022-07-29 10:54:02,6
100,47,2022-07-29 10:54:03,6
101,18,2022-07-29 10:54:03,4
102,18,2022-07-29 11:00:14,7
103,47,2022-07-29 11:01:17,3
104,47,2022-07-29 11:01:19,3
105,18,2022-07-29 11:01:19,5
106,18,2022-07-29 11:01:20,5
107,47,2022-07-29 11:01:44,10
108,50,2022-07-29 11:02:48,7
109,50,2022-07-29 11:04:27,3
110,50,2022-07-29 11:04:30,3
111,50,2022-07-29 11:05:07,10
112,49,2022-07-29 11:06:15,15
113,53,2022-07-29 11:07:07,7
114,53,2022-07-29 11:08:21,3
115,53,2022-07-29 11:08:23,3
116,53,2022-07-29 11:08:44,10
117,49,2022-07-29 11:09:01,9
118,49,2022-07-29 11:09:01,9
119,49,2022-07-29 11:09:08,5
120,49,2022-07-29 11:09:09,5
121,49,2022-07-29 11:09:34,10
122,20,2022-07-29 11:14:48,7
123,20,2022-07-29 11:15:43,3
124,20,2022-07-29 11:15:44,3
125,20,2022-07-29 11:16:01,10
126,54,2022-07-29 11:21:42,3
127,54,2022-07-29 11:21:43,3
128,54,2022-07-29 11:22:06,10
129,53,2022-07-29 11:27:42,11
130,37,2022-07-29 11:28:11,4
131,53,2022-07-29 11:28:11,6
132,37,2022-07-29 11:28:12,4
133,53,2022-07-29 11:28:13,6
134,37,2022-07-29 11:34:07,7
135,53,2022-07-29 11:35:15,3
136,37,2022-07-29 11:35:16,5
137,53,2022-07-29 11:35:17,3
138,37,2022-07-29 11:35:18,5
139,37,2022-07-29 11:35:43,10
140,19,2022-07-29 11:39:16,7
141,19,2022-07-29 11:40:06,3
142,19,2022-07-29 11:40:08,3
143,19,2022-07-29 11:40:30,10
144,18,2022-07-29 11:52:28,11
145,55,2022-07-29 11:52:57,4
146,6,2022-07-29 11:52:58,6
147,55,2022-07-29 11:52:58,4
148,18,2022-07-29 11:53:00,4
149,6,2022-07-29 11:53:00,6
150,18,2022-07-29 11:53:01,4
151,18,2022-07-29 11:59:55,7
152,18,2022-07-29 12:01:01,5
153,6,2022-07-29 12:01:01,3
154,18,2022-07-29 12:01:03,5
155,6,2022-07-29 12:01:03,3
156,55,2022-07-29 12:01:04,3
157,55,2022-07-29 12:01:04,3
158,18,2022-07-29 12:01:28,10
159,12,2022-07-29 12:29:28,3
160,12,2022-07-29 12:29:29,3
161,12,2022-07-29 12:29:54,10
162,47,2022-07-29 12:31:47,11
163,18,2022-07-29 12:32:18,4
164,47,2022-07-29 12:32:20,6
165,47,2022-07-29 12:32:41,6
166,18,2022-07-29 12:32:41,4
167,19,2022-07-29 12:37:29,13
168,19,2022-07-29 12:37:30,13
169,12,2022-07-29 12:43:28,11
170,12,2022-07-29 12:43:55,4
171,12,2022-07-29 12:43:57,4
172,12,2022-07-29 12:45:22,3
173,12,2022-07-29 12:45:25,3
174,46,2022-07-29 12:45:27,3
175,46,2022-07-29 12:45:30,3
176,12,2022-07-29 12:45:52,10
177,19,2022-07-29 12:46:28,12
178,19,2022-07-29 12:46:29,12
179,12,2022-07-29 12:46:44,13
180,12,2022-07-29 12:46:45,13
181,1,2022-07-29 12:48:51,11
182,1,2022-07-29 12:49:12,4
183,1,2022-07-29 12:49:13,4
184,33,2022-07-29 12:49:14,6
